product_uid,product_name,product_description,product_image_url,product_image_visual_description
180158,"ProCom 80,000 BTU Portable Single Convection Heater","ProCom Heating's Portable Convection Outdoor Propane Heaters, also referred to as ""trash can"" heaters in the trade, offer an inexpensive solution for temporary space heating especially for applications where there is no electricity. Compact, lightweight and clean burning, these heaters also feature a 360 heating radius which allows quick and efficient hot air distribution. These commercial grade heaters offer a perfect solution for temporary heating jobs such as garages, construction sites, warehouses, agricultural and industrial applications.California residents: see&nbsp;Proposition 65 information80,000 BTU variable convection heaters3 heat settings - 40,000, 60,000 and 80,000 BTUCirculates convection heat 360 in a degree radiusHeats up to 1,800 sq. ft.No electricity requiredPiezo matchless ignitionCSA  certifiedIncludes 10 ft. hose and regulatorHome Depot Protection Plan:",https://m.media-amazon.com/images/I/61gMG2vP5ML.jpg,
111110,HDX 4 ft. x 50 ft. 14-Gauge Green PVC-Coated Welded Wire,The HDX 4 ft. x 50 ft. Vinyl-Coated Welded Wire is made of galvanized and welded steel for long-lasting use. The green PVC coating helps create an upscale appearance that can complement natural surroundings. The general purpose fence is ideal for property delineation or the temporary confinement of non-aggressive animals.Galvanized and welded steel construction for long-lasting useMesh size: 3 in. x 2 in.14-GaugeGreen PVC coating helps create an upscale appearance that can complement natural surroundingsBuying Guide:,https://i.ebayimg.com/images/g/-vUAAOSwTPRjoex~/s-l1600.jpg,
102816,Delta Classic 400 32 in. x 60 in. x 60 in. 3-Piece Direct-to-Stud Tub Surround in High Gloss White,"The Classic 400 32 in. X 60 in. x 60 in. 3-Piece Direct-to-Stud Tub Surround in High Gloss White is designed to fit 32 in. x 60 in. x 60 in. alcoves. This wall set offers an attractive design with the strength and durability of acrylic. This wall set also features six corner shelves and one center shelf for maximum storage. Classic 400 bathing systems offer style and design with the strength and durability of acrylic material. ProCrylic is a durable, bright white, high-gloss acrylic that provides all of the benefits of acrylic without the need for the rough, abrasive fiberglass backing.Actual product dimensions 60 in. W x 32.5 in. D x 60.38 in. HFits alcoves 32 in. x 60 in. x 60 in.Pairs with aspiration 38 in. x 48 in. single threshold shower base in high gloss white (model # 40034L or 40034R - sold separately) for a complete showering unitPremium high-gloss non-porous acrylic surface is durable and easy to cleanDirect-to-stud installation helps to create a long-lasting and secure unit7 built-in shelves provide much-needed storage spaceBuilt-in nailing flange to help ease installation3-piece design is easy to transportTub surround wall onlyBright white finish matches porcelain fixturesEasy to clean surface resists mildewEasy to handle material with no fiberglass backingNo mortar bed required saves time and money",https://images.thdstatic.com/productImages/37a5cde9-cc8f-4e4d-96ec-5c9d42109753/svn/high-gloss-white-delta-tub-surrounds-b23205-6032-wh-1d_600.jpg,
153802,SharkBite 3/4 in. Copper Crimp Rings (100-Pack),"The SharkBite barb connection system is the best option for connecting PEX tubing in water distribution systems when lower material cost is desired. Constructed of copper, the SharkBite copper crimp rings are used in conjunction with barb fittings and crimp tools. And with a wide range of fittings, manifolds, regulator, thermostatic, and ball valves available, the SharkBite barb connection system is perfect for your next plumbing project.CopperCrimp tool allows each joint to be checked with go/no-go gaugeUsed in conjunction with PEX tubing and barb fittings, valves, and manifoldsAvailable in 3/8 in., 1/2 in., 3/4 in., & 1 in. sizesTool required has interchangeable jaws that do not require calibration",https://mobileimages.lowes.com/productimages/29c2b61b-a644-4615-a418-f298bd92a2c4/08753619.jpg?size=pdhism,
150321,6 ft. x 8 ft. Pressure-Treated Pine Shadowbox Fence Panel,"Use the 6 ft. x 8 ft. Pressure Treated Spruce Shadowbox Fence Panel to help provide privacy in your yard. This panel is made of solid unpainted spruce, and is treated to provide resistance to termites and fungal decay. It can also be stained or painted as you see fit.California residents: see&nbsp;Proposition 65 informationPressure treated for long lifeNatural wood appearance can be stained or painted to suit your locationDesigned to enhance the appearance of your yardPanel measures 8 ft. wideNote: Product may vary by store",https://images.thdstatic.com/productImages/bb44947e-4243-45ba-ab5c-3b02b1bd4f83/svn/wood-wood-fence-panels-118830-a0_600.jpg,
189550,Hampton Bay Mix &amp; Match Chrome Double Glass Orb Table Lamp-Title 20,"Hampton Bay's Mix and Match lamp program allows you to create your own signature lamp style. Create your lamp by choosing a shade or base from 2-sizes, (A) accent or (B) table, then pick from an array of traditional, contemporary, or transitional styles. The numerous choices of shades and bases are the perfect opportunity to refresh an outdated lamp, or you can start from scratch and design a whole lamp that's right for you.Beautifully crafted in metal / poly for added eleganceMix & match for additional looks for all seasons, moods and decorUse 1-standard medium base 13 watt CFL bulb (included)Choose any matching size shade to finish your lookEasy to install - harp and finial included where neededHome Depot Protection Plan:",https://images.thdstatic.com/productImages/0fa7dc00-9a98-4aec-9eeb-070cec28ecc7/svn/hampton-bay-lamp-bases-17622-64_1000.jpg,
146952,"Hitachi 7/8 in. x 0.120 in. Full Round-Head Smooth Shank Electro Galvanized Wire Coil Roofing Nails (7,200-Pack)","The Full Round-Head Smooth Shank Wire Coil Electro-Galvanized Roofing Nails fit Hitachi NV45AB, NV45AB2, NV45AB2S, NV45AE and NV45AES roofing nailers. These nails have a smooth shank with an Electro-Galvanized finish. This item is 7/8 in. in length x 0.120 in. in diameter and comes in a (7,200-pack). Every Hitachi accessory is designed to the highest standards and is rigorously tested for both performance and durability. Since its inception, Hitachi has pioneered innovative technologies that have improved the quality of craftsmanship worldwide. Hitachi is a leader in power tool research and development and has achieved many firsts in the power tool industry. Today, Hitachi continues the tradition of innovation and engineering with new features in addition to classic quality.Full round-head wire coil electro-galvanized roofing nailsFits Hitachi NV45AB, NV45AB2, NV45AB2S, NV45AE and NV45AES roofing nailersNails have a smooth shank and an electro-galvanized finishHas a 7/8 in. length x 0.120 in. diameter and comes in a 7,200-pack","https://m.media-amazon.com/images/I/81UiDXjGrWL._AC_UF894,1000_QL80_.jpg",
129672,Bell 1-Gang Weatherproof Box with 3 1/2 in. Outlets,"BELL weatherproof boxes are designed for use in branch circuit wiring in wet, damp, or dry locations.  Boxes house receptacles, switches, and GFCI's.  BELL Boxes may also be used as a weatherproof junction box. Closure plugs and installation hardware included. Ground screw is installed.State of the art powder coat finish provides maximum weatherability and scratch resistanceRugged die cast aluminum constructionInternal hub threads comply with NEMA requirements and will accept all threaded fittings and threaded conduit8 box mounting options with detachable lugs2 in. deep18.3 cubic in. capacityNEMA 3R Compliant",https://hubbellcdn.com/prodimage1200/5320-0_1200.jpg,
167756,Rust-Oleum Universal 12 oz. All Surface Satin White Spray Paint and Primer in One,"Rust-Oleum Universal 12 oz. All Surface Satin White Spray Paint and Primer in One is designed for diverse substrates and works on virtually any surface: vinyl, metal, plastic, fiberglass, concrete, glass, wicker and wood. Universal is suitable for interior or exterior environments. Oil based formula covers up to 35 sq. ft., protects surfaces from rust and dries to the touch in as little as 30 minutes. A specially designed nozzle eliminates finger fatigue, protects against dripping and sprays from any angle, even upside down.California residents: see&nbsp;Proposition 65 informationInterior/exterior use, designed for diverse substrates and works on virtually any surface: vinyl, metal, plastic, fiberglass, concrete, glass, wicker and woodRust and corrosion resistant for enhanced durabilityCovers up to 35 sq. ft.Satin finish offers a soft, low-sheen look for any surfaceErgonomic cap eliminates finger fatigue and offers 360-degree, any-angle spray technologyOil-based formula with excellent adhesion resists fading and chippingDries to the touch in 30 minutesPaint and primer in oneClean up with mineral spiritsActual paint colors may vary from on-screen and printer representationsSee below for the full line of Universal products",https://i5.walmartimages.com/asr/d1162ff2-bc84-41ae-868b-9168df801e56.afdd48977a2457c1863538126449cf2b.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,
106723,Hampton Bay 3-Light Crawley Oil Rubbed Bronze Vanity Fixture,The versatile Crawley vanity fixtures feature a classic timeless architecture that adds an element of distinction to any bathroom. The Oil Rubbed Bronze hand applied finish coordinates with most faucet and hardware manufacturers for easy selection. The fixtures can be mounted in either the up or down position depending on the consumer's choice. The white glass shades provides modern day clean feel with old world design.White glass shadesMount with glass up or downCoordinates with most bronze faucetsEasy to installOil rubbed bronze finishHome Depot Protection Plan:,https://images.thdstatic.com/productImages/fe017fa4-6715-4b97-9545-2fbe53c83557/svn/oil-rubbed-bronze-hampton-bay-vanity-lighting-ad065-w3-a0_600.jpg,
175434,LR Resources Vivid Floral Brown and Grey with a Purple Haze 5 ft. x 7 ft. 9 in. Indoor Area Rug-DISCONTINUED,"A Single Outlined Flower Rests on a Monochromatic Ground, Creating a Look that is both Modern and Dramatic. 100% Acrylic Pile, Hand-Tufted in China. Durable Rug with a Minimal Shed Construction. Adds Flair to Any Home Environment with Hook and Cut Pile TePile Height (approximate) 1/2""100% Acrylic PileDurable, minimal-shed constructionRug pad recommendedSpot clean, blot spills immediately and vacuum regularly",https://m.media-amazon.com/images/I/51bLd5yfxWL._AC_.jpg,
173941,Wiremold 500 and 700 Series 5-1/2 in. Open Base Extension Box,"Legrand/Wiremold small surface metal raceway systems are the ideal choice for a homeowner that wants to extend circuits or communication cabling in their home. Surface metal raceway allows you to extend circuits, add fixtures or outlets without disturbing the drywall, plaster or insulation in your home. All parts are paintable to blend with room decor. The leading choice of professionals is now available for your DIY project.90_ twist elbow kit enables a turn around an outside corner while changing the raceway channel's orientationAccommodates fixtures with 2-3/4 in. 3-1/2 in. and 4-1/16 in. mounting patternsCompatible with both Legrand/Wiremold 500 series (B-series) and 700 series (BW series) racewaysIvory finishPaintable and stainable using latex based productsUL listedNote: product may vary by store",https://images.thdstatic.com/productImages/c674c369-355d-4e60-a604-0fa968b99689/svn/white-legrand-raceway-accessories-5737awh-64_600.jpg,
